VP,Start,Stop,,,,
lhbmf8d2n86vrnsk4sncp33omu,21:08,23:22,,02:14,,
g395p3ni6rjcc6rfkel1itsl7u,18:48,19:28,,00:40,,
upe948jeuk77o4t659orcv56in,15:10,16:01,,00:51,,
vbf1hj1p5mlrt3vd7c26jbrkp1,08:08,09:06,,00:58,,
eotr6hromm2gla8clbchusptn3,17:53,18:27,,00:34,,
bihu8vto928gfgjhh9rg7im97d,09:20,10:17,,00:57,,
hk2ckgqnl2s9k43t2stm1cjdl8,13:18,14:30,,01:12,,
tkq0mi55ahk11qd42fqsr0hhh5,12:20,13:07,,00:47,,
4kr59rjugmlurs3ne8mhdlmdm1,10:02,10:59,,00:57,,
rikec6227n33qvp03ki1mofopl,16:05,16:47,,00:42,,
6vavd8sv6177mqv4s0eerq1un3,08:39,09:33,,00:54,,
vvdcv0n3kt8s9tlhbasknof2n6,15:13,15:53,,00:40,,
q2c5pse38mkepj1kkpv3hk40ed,14:06,14:59,,00:53,,
q2c5pse38mkepj1kkpv3hk40ed,16:47,17:52,,01:05,,
chr02tcrm39k50hutamkjefr8l,20:51,21:52,,01:01,,